"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDSORA-UBSE","*"
"2023-11-01","PDSORA-UBSETAG30","0"
"2023-11-01","PDSORA-UBSETAL30","0"
"2023-11-01","PDSORA-UBSFGCM","182"
"2023-11-01","PDSORA-UBSFGCMTAG30","62"
"2023-11-01","PDSORA-UBSFGCMTAL30","*"
"2023-11-01","PDSORA-UBSFGEM","690"
"2023-11-01","PDSORA-UBSFGEMTAG30","0"
"2023-11-01","PDSORA-UBSFGEMTAL30","0"
"2023-11-01","PDSORA-UBSFGM","16183"
"2023-11-01","PDSORA-UBSFGMTAG30","2209"
"2023-11-01","PDSORA-UBSFGMTAL30","1850"
"2023-11-01","PDSORA-UBSO","2069"
"2023-11-01","PDSORA-UBSOTAG30","3948"
"2023-11-01","PDSORA-UBSOTAL30","68"
"2023-11-01","PDSORA-UBSUTSET","498017"
"2023-11-01","PDSORA-UBSUTSETTAG30","99962"
"2023-11-01","PDSORA-UBSUTSETTAL30","91632"
"2023-11-01","PDSORA-UBSUTST","63893"
"2023-11-01","PDSORA-UBSUTSTTAG30","3714"
"2023-11-01","PDSORA-UBSUTSTTAL30","7826"
"2023-11-01","PDSORA-UTSETC","49966"
"2023-11-01","PDSORA-UTSETTOT","1901132"
"2023-11-01","PDSORA-UTSTC","12286"
"2023-11-01","PDSORA-UTSTTOT","204255"
"2023-11-01","PDST10COT-WIB","7158"
"2023-11-01","PDST10COT-WIBC","1179"
"2023-11-01","PDST10COT-WO","12435"
"2023-11-01","PDST10COT-WOC","1515"
"2023-11-01","PDST10F-TD","*"
"2023-11-01","PDST10F-TDC","1"
"2023-11-01","PDST10F-TR","104"
"2023-11-01","PDST10F-TRC","104"
"2023-11-01","PDST10GFSIG-OO","*"
"2023-11-01","PDST10GFSIG-OOC","9"
"2023-11-01","PDST10GFSIG-T","*"
"2023-11-01","PDST10GFSIG-TC","0"
"2023-11-01","PDST10NSP","104"
"2023-11-01","PDST10NSPC","-587"
"2023-11-01","PDST10OGS-OO","1418"
"2023-11-01","PDST10OGS-OOC","-2353"
"2023-11-01","PDST10OSS-OO","7099"
"2023-11-01","PDST10OSS-OOC","2879"
"2023-11-01","PDST10OSSI-OO","6927"
"2023-11-01","PDST10OSSI-OOC","1905"
"2023-11-01","PDST10TGS-T","0"
"2023-11-01","PDST10TGS-TC","*"
"2023-11-01","PDST10TSSI-T","2483"
"2023-11-01","PDST10TSSI-TC","-1003"
"2023-11-01","PDST10TSTS-T","895"
"2023-11-01","PDST10TSTS-TC","-168"
"2023-11-01","PDST30COT-WIB","770"
"2023-11-01","PDST30COT-WIBC","-76"
"2023-11-01","PDST30COT-WO","1719"
"2023-11-01","PDST30COT-WOC","-1113"
"2023-11-01","PDST30F-TD","*"
"2023-11-01","PDST30F-TDC","3"
"2023-11-01","PDST30F-TR","48"
"2023-11-01","PDST30F-TRC","*"
"2023-11-01","PDST30GFSIG-OO","0"
"2023-11-01","PDST30GFSIG-OOC","*"
"2023-11-01","PDST30GFSIG-T","*"
"2023-11-01","PDST30GFSIG-TC","17"
"2023-11-01","PDST30NSP","456"
"2023-11-01","PDST30NSPC","-133"
"2023-11-01","PDST30OGS-OO","1527"
"2023-11-01","PDST30OGS-OOC","-769"
"2023-11-01","PDST30OSS-OO","1343"
"2023-11-01","PDST30OSS-OOC","475"
"2023-11-01","PDST30OSSI-OO","1784"
"2023-11-01","PDST30OSSI-OOC","-86"
"2023-11-01","PDST30TGS-T","0"
"2023-11-01","PDST30TGS-TC","*"
"2023-11-01","PDST30TSSI-T","1353"
"2023-11-01","PDST30TSSI-TC","-224"
"2023-11-01","PDST30TSTS-T","657"
"2023-11-01","PDST30TSTS-TC","-249"
"2023-11-01","PDST5COT-WIB","10280"
"2023-11-01","PDST5COT-WIBC","7013"
"2023-11-01","PDST5COT-WO","33677"
"2023-11-01","PDST5COT-WOC","15922"
"2023-11-01","PDST5F-TD","107"
"2023-11-01","PDST5F-TDC","*"
"2023-11-01","PDST5F-TR","*"
"2023-11-01","PDST5F-TRC","-295"
"2023-11-01","PDST5GFSIG-OO","0"
"2023-11-01","PDST5GFSIG-OOC","*"
"2023-11-01","PDST5GFSIG-T","0"
"2023-11-01","PDST5GFSIG-TC","0"
"2023-11-01","PDST5NSP","1433"
"2023-11-01","PDST5NSPC","3151"
"2023-11-01","PDST5OGS-OO","1710"
"2023-11-01","PDST5OGS-OOC","2"
"2023-11-01","PDST5OSS-OO","8812"
"2023-11-01","PDST5OSS-OOC","3230"
"2023-11-01","PDST5OSSI-OO","9029"
"2023-11-01","PDST5OSSI-OOC","1095"
"2023-11-01","PDST5TGS-T","80"
"2023-11-01","PDST5TGS-TC","80"
"2023-11-01","PDST5TSSI-T","551"
"2023-11-01","PDST5TSSI-TC","-3625"
"2023-11-01","PDST5TSTS-T","*"
"2023-11-01","PDST5TSTS-TC","*"
"2023-11-01","PDTIPSTOT","24419"
